wine,price,country,rating,wine count
Bolgheri Superiore,597.5,Italie,4.6,274658
Côte-Rôtie La Mouline,4910.0,France,4.6,422503
Grand Vin Pauillac (Premier Grand Cru Classé),990.0,France,4.6,422503
Campolongo di Torbe Amarone della Valpolicella Classico,212.5,Italie,4.5,274658
Sauternes (Premier Grand Cru Classé),49.9,France,4.3,422503
Montepulciano d'Abruzzo,543.4,Italie,4.4,274658
Dom Ruinart Blanc de Blancs Brut Champagne,287.0,France,4.5,422503
Merlot,201.25,États-Unis,4.4,204060
Vürsù Barolo Campè,318.75,Italie,4.4,274658
Lodovico,425.0,Italie,4.6,274658
d'Alceo,335.0,Italie,4.4,274658
Darmagi Langhe,331.25,Italie,4.5,274658
Amarone della Valpolicella,291.25,Italie,4.4,274658
N.P.U. Extra Brut Champagne (Nec Plus Ultra),470.0,France,4.5,422503
Grand Vin Pauillac (Premier Grand Cru Classé),1323.75,France,4.6,422503
Vigneto Bellavista Chianti Classico,221.25,Italie,4.4,274658
Brunello di Montalcino Riserva,1046.25,Italie,4.6,274658
Grand Vin Pauillac (Premier Grand Cru Classé),1590.0,France,4.6,422503
Opus One,768.75,États-Unis,4.6,204060
Falletto Barolo Le Rocche del Falletto Riserva,3096.25,Italie,4.6,274658
Grand Vin Pauillac (Premier Grand Cru Classé),1200.79,France,4.6,422503
Saint-Émilion Grand Cru (Premier Grand Cru Classé),287.5,France,4.3,422503
Vin de Pays de l'Hérault,683.75,France,4.5,422503
Tenuta Nuova Brunello di Montalcino,470.0,Italie,4.5,274658
Le Bourg Saumur Champigny,832.5,France,4.5,422503
d'Alceo,196.25,Italie,4.4,274658
Amarone della Valpolicella Classico,425.0,Italie,4.7,274658
Sauternes (Premier Grand Cru Classé),75.71,France,4.3,422503
Valpolicella Superiore Monte Lodoletta,178.75,Italie,4.5,274658
Brunello di Montalcino,420.0,Italie,4.5,274658
Romanée-Saint-Vivant Grand Cru,3202.5,France,4.5,422503
Châteauneuf-du-Pape,3287.5,France,4.7,422503
Kairos,221.25,Italie,4.4,274658
Pauillac (Grand Cru Classé),479.85,France,4.4,422503
Amour de Deutz Millésimé Brut Champagne,199.0,France,4.5,422503
Kairos,221.25,Italie,4.4,274658
Costa Russi (Barbaresco) Langhe,1281.25,Italie,4.6,274658
Pauillac (Premier Grand Cru Classé),975.0,France,4.6,422503
Continuum Estate,645.0,États-Unis,4.6,204060
Conde de Superunda,56.0,Chili,4.2,41191
Bolgheri Superiore,448.75,Italie,4.6,274658
Pieve Santa Restituta Sugarille Brunello di Montalcino,222.5,Italie,4.5,274658
Falletto Barolo Le Rocche del Falletto Riserva,3522.5,Italie,4.6,274658
Amarone della Valpolicella Monte Lodoletta,752.5,Italie,4.7,274658
Barolo Cannubi,135.0,Italie,4.3,274658
Sir Winston Churchill Brut Champagne,683.75,France,4.6,422503
Comtes de Champagne Blanc de Blancs,811.25,France,4.5,422503
Pauillac (Premier Grand Cru Classé),715.15,France,4.6,422503
Amarone della Valpolicella Classico,265.0,Italie,4.4,274658
Saint-Émilion Grand Cru (Premier Grand Cru Classé),785.18,France,4.6,422503
Barolo Le Vigne,420.0,Italie,4.3,274658
Sorì San Lorenzo,692.5,Italie,4.6,274658
Rocche dell'Annunziata Barolo Riserva,618.75,Italie,4.5,274658
Barbaresco Rabajà,301.25,Italie,4.3,274658
Recioto della Valpolicella (Monte Lodoletta),832.5,Italie,4.6,274658
'Giulio Ferrari' Riserva del Fondatore,353.75,Italie,4.6,274658
Barolo Riserva Granbussia,1428.75,Italie,4.5,274658
Boal Madeira,318.25,Portugal,4.5,39847
Chateauneuf-du-Pape Réserve des Célestins,1601.25,France,4.6,422503
Saint-Émilion Grand Cru (Premier Grand Cru Classé),700.0,France,4.6,422503
Brunello di Montalcino,82.5,Italie,4.4,274658
Barolo Bussia,155.0,Italie,4.4,274658
Barolo Monprivato,705.0,Italie,4.4,274658
40 Anos Tawny Port,109.95,Portugal,4.6,39847
Musigny Grand Cru,1173.75,France,4.4,422503
Bâtard-Montrachet Grand Cru,4163.75,France,4.6,422503
Pingus,2327.5,Espagne,4.6,102662
Pingus,3395.0,Espagne,4.6,102662
Tokaji Aszú 5 Puttonyos,99.97,Hongrie,4.5,16605
Guglielmi di Jago Amarone della Valpolicella Classico,277.6,Italie,4.4,274658
Romanée-Saint-Vivant Grand Cru,3202.5,France,4.5,422503
Bolgheri Superiore,427.5,Italie,4.6,274658
Recioto della Valpolicella (Monte Lodoletta),1025.0,Italie,4.6,274658
Merlot,178.75,États-Unis,4.4,204060
Recioto della Valpolicella Classico,1025.0,Italie,4.7,274658
Brut Champagne,440.0,France,4.6,422503
Brunello di Montalcino Riserva,595.0,Italie,4.6,274658
Brunello di Montalcino Riserva,695.0,Italie,4.6,274658
Brut Champagne,250.0,France,4.6,422503
Vosne-Romanée Premier Cru Aux Reignots,4114.0,France,4.6,422503
Brunello di Montalcino,82.5,Italie,4.4,274658
Le Bourg Saumur Champigny,961.25,France,4.5,422503
Messorio,533.75,Italie,4.5,274658
Barolo Riserva Monprivato Cà d'Morissio,1686.25,Italie,4.6,274658
Pignan Châteauneuf-du-Pape Réserve Rouge,961.25,France,4.6,422503
Sorì Tildìn (Barbaresco) Langhe,1623.75,Italie,4.6,274658
Brunello di Montalcino,82.5,Italie,4.4,274658
Sorì Tildìn (Barbaresco) Langhe,1110.0,Italie,4.6,274658
Le Désir,494.9,États-Unis,4.5,204060
Campo León Amarone della Valpolicella,123.75,Italie,4.4,274658
Costa Russi (Barbaresco) Langhe,961.25,Italie,4.6,274658
Falletto Barolo Le Rocche del Falletto Riserva,1537.5,Italie,4.6,274658
Vürsù Barbaresco Gallina,243.75,Italie,4.4,274658
Vürsù Barbaresco Gallina,205.0,Italie,4.4,274658
Sancerre 'Clos la Néore',896.25,France,4.4,422503
Brut Champagne,397.5,France,4.6,422503
Brunello di Montalcino Riserva Pian di Conte,103.75,Italie,4.3,274658
La Grande Année Brut Champagne,293.75,France,4.5,422503
Les Poyeux Saumur Champigny,705.0,France,4.5,422503
Reserve,331.25,États-Unis,4.6,204060
Domus Aurea Cabernet Sauvignon,169.75,Chili,4.4,41191
Amarone della Valpolicella Classico Riserva,1046.25,Italie,4.8,274658
Vin Santo di Montepulciano,310.0,Italie,4.6,274658
Recioto della Valpolicella Classico Riserva,1387.5,Italie,4.5,274658
Sorì San Lorenzo,1495.0,Italie,4.6,274658
Amarone Della Valpolicella Marta Galli,100.0,Italie,4.2,274658
30 Year Old Tawny Port,144.3,Portugal,4.4,39847
Grand Vin Pauillac (Premier Grand Cru Classé),1433.8,France,4.6,422503
Gran Reserva 890,198.95,Espagne,4.5,102662
Guglielmi di Jago Amarone della Valpolicella Classico,185.6,Italie,4.4,274658
Cerretta Barolo Riserva (Vigna Bricco),246.25,Italie,4.5,274658
Pingus,1665.0,Espagne,4.6,102662
Pian delle Vigne Brunello di Montalcino,96.3,Italie,4.3,274658
Brunate  Barolo,597.5,Italie,4.5,274658
Merlot,178.75,États-Unis,4.4,204060
'Giulio Ferrari' Riserva del Fondatore,491.25,Italie,4.6,274658
Dolç de L'Obac,88.57,Espagne,4.4,102662
Miserere,227.02,Espagne,4.3,102662
Merlot,178.75,États-Unis,4.4,204060
Pauillac (Premier Grand Cru Classé),1038.63,France,4.6,422503
Hommage à Jacques Perrin Châteauneuf-du-Pape,520.0,France,4.5,422503
Platinum,194.9,Suisse,4.3,33656
Vosne-Romanée Premier Cru Les Petits Monts,8349.0,France,4.5,422503
Pauillac (Premier Grand Cru Classé),1750.0,France,4.6,422503
Rioja Reserva,69.94,Espagne,4.4,102662
Almaviva,220.0,Chili,4.6,41191
Vigneto Bellavista Chianti Classico,216.25,Italie,4.4,274658
Grand Vin Pauillac (Premier Grand Cru Classé),799.0,France,4.6,422503
Brunello di Montalcino,94.95,Italie,4.4,274658
Échézeaux Grand Cru,12886.5,France,4.7,422503
Pessac-Léognan (Grand Cru Classé de Graves),2635.55,France,4.5,422503
Pauillac (Grand Cru Classé),119.0,France,4.4,422503
Pauillac (Premier Grand Cru Classé),618.75,France,4.6,422503
Pessac-Léognan Blanc (Grand Cru Classé de Graves),1900.0,France,4.5,422503
Sassicaia,576.25,Italie,4.6,274658
La Grande Année Brut Champagne,241.4,France,4.5,422503
R.D Extra Brut Champagne (Récemment Dégorgé),533.75,France,4.6,422503
Cristal Brut Champagne (Millésimé),462.5,France,4.6,422503
Grand Vin Pauillac (Premier Grand Cru Classé),1242.5,France,4.6,422503
Montrachet Grand Cru Marquis de Laguiche,2028.75,France,4.6,422503
Vacqueyras,250.0,France,4.3,422503
Hommage à Jacques Perrin Châteauneuf-du-Pape,555.0,France,4.5,422503
Vigna Cappella di S. Stefano Perno Barolo,123.75,Italie,4.4,274658
Falletto Barolo Le Rocche del Falletto Riserva,1601.25,Italie,4.6,274658
V.P Extra Brut Champagne Grand Cru 'Ambonnay',149.95,France,4.4,422503
Cuvée Annamaria Clementi (Extra Brut),151.68,Italie,4.5,274658
Cuvée Annamaria Clementi (Extra Brut),141.06,Italie,4.5,274658
Brunello di Montalcino Riserva,1046.25,Italie,4.6,274658
Brut Rosé Champagne,625.0,France,4.6,422503
Clos de L'Obac,96.81,Espagne,4.4,102662
Pomerol,470.0,France,4.5,422503
Il San Lorenzo Bianco,75.0,Italie,4.5,274658
Brunello di Montalcino Riserva,720.0,Italie,4.6,274658
Pingus,2668.75,Espagne,4.6,102662
Poggio Al Vento Brunello di Montalcino Riserva,353.75,Italie,4.4,274658
Son Negre,208.3,Espagne,4.5,102662
Barolo Riserva Leon,196.25,Italie,4.4,274658
Vin Santo di Montepulciano,353.75,Italie,4.6,274658
Saint-Émilion Grand Cru (Premier Grand Cru Classé),293.7,France,4.5,422503
Pauillac (Premier Grand Cru Classé),1665.0,France,4.6,422503
Belle Epoque Brut Champagne,265.0,France,4.5,422503
Brunello di Montalcino Riserva,126.25,Italie,4.4,274658
Cos d'Estournel,166.11,France,4.4,422503
Vin de Pays de l'Hérault,683.75,France,4.5,422503
Arborina Barolo,420.0,Italie,4.4,274658
Madonna delle Grazie Brunello di Montalcino,491.25,Italie,4.5,274658
Madonna delle Grazie Brunello di Montalcino,1046.25,Italie,4.5,274658
Saint-Émilion Grand Cru (Premier Grand Cru Classé),470.0,France,4.4,422503
Sorì San Lorenzo,747.5,Italie,4.6,274658
Pessac-Léognan (Grand Cru Classé de Graves),865.65,France,4.5,422503
Cà Bertoldi Amarone della Valpolicella Classico,57.9,Italie,4.3,274658
Redigaffi Toscana,242.5,Italie,4.5,274658
Trasnocho,103.54,Espagne,4.5,102662
Brut Champagne (Gold),329.0,France,4.4,422503
Tokaji Aszú 5 Puttonyos,72.48,Hongrie,4.5,16605
Ca’ del Merlo Rosso Veneto,130.0,Italie,4.5,274658
Brunello di Montalcino Riserva,521.0,Italie,4.6,274658
Barolo Riserva Speciale Granbussia,1046.25,Italie,4.5,274658
Ca’ del Merlo Rosso Veneto,97.55,Italie,4.5,274658
R.D Extra Brut Champagne (Récemment Dégorgé),353.28,France,4.6,422503
Brunello di Montalcino Riserva,121.25,Italie,4.4,274658
Château Margaux (Premier Grand Cru Classé),1046.25,France,4.6,422503
Barolo Riserva Speciale Granbussia,1046.25,Italie,4.5,274658
Barolo Riserva Speciale Granbussia,2348.75,Italie,4.5,274658
'Giulio Ferrari' Riserva del Fondatore,287.5,Italie,4.6,274658
Vin Santo di Montepulciano Occhio di Pernice,420.0,Italie,4.4,274658
Graticciaia,111.25,Italie,4.4,274658
Hommage à Jacques Perrin Châteauneuf-du-Pape,474.0,France,4.5,422503
Hommage à Jacques Perrin Châteauneuf-du-Pape,474.0,France,4.5,422503
Barolo Cascina Francia,420.0,Italie,4.5,274658
Tenuta Montebello Picconero,100.15,Italie,4.4,274658
Lodovico,532.5,Italie,4.6,274658
Barolo Cannubi Boschis,555.0,Italie,4.4,274658
Vin Santo di Montepulciano,287.5,Italie,4.6,274658
Falletto Barolo Le Rocche del Falletto Riserva,747.5,Italie,4.6,274658
Vin de Pays de l'Hérault,683.75,France,4.5,422503
Sorì Tildìn (Barbaresco) Langhe,705.0,Italie,4.6,274658
Gaia & Rey Langhe,472.5,Italie,4.5,274658
Redigaffi Toscana,533.75,Italie,4.5,274658
Veneto Alzero Cabernet,683.75,Italie,4.7,274658
Brunello di Montalcino,420.0,Italie,4.5,274658
Ginés Liébana Pedro Ximénez,391.3,Espagne,4.6,102662
Giorgio Bartholomäus,496.25,Italie,4.4,274658
Amarone della Valpolicella Monte Lodoletta,487.5,Italie,4.7,274658
Brunello di Montalcino Riserva Vigna Paganelli,118.3,Italie,4.3,274658
L'Extravagant de Doisy-Daëne Sauternes,332.41,France,4.6,422503
Amarone della Valpolicella Monte Lodoletta,1110.0,Italie,4.7,274658
Sassicaia,2028.75,Italie,4.6,274658
Finca Bella Vista Malbec,113.0,Argentine,4.5,36121
Toscana,2028.75,Italie,4.7,274658
Lodovico,683.75,Italie,4.6,274658
Series M,48.0,Afrique du Sud,4.4,30857
Aszú Eszencia,129.95,Hongrie,4.5,16605
Toscana,4697.5,Italie,4.7,274658
Rujno Rosso,403.75,Italie,4.5,274658
La Mattonara Amarone della Valpolicella Classico Riserva,533.75,Italie,4.7,274658
Campo dei Gigli Amarone della Valpolicella,90.0,Italie,4.4,274658
Rujno Rosso,618.75,Italie,4.5,274658
Toscana,1985.0,Italie,4.7,274658
MV Rosé,293.8,France,4.5,422503
Series M,58.0,Afrique du Sud,4.4,30857
Toscana,4163.75,Italie,4.7,274658
Vittorio Moretti,142.5,Italie,4.4,274658
Vigna Colonnello Barolo Riserva Bussia,246.25,Italie,4.4,274658
Pomerol,599.2,France,4.5,422503
Rocche dell'Annunziata Torriglione Barolo,497.15,Italie,4.5,274658
Blanc des Millénaires,260.0,France,4.6,422503
Toscana,2092.5,Italie,4.7,274658
Toscana,4910.0,Italie,4.7,274658
Toknar,74.98,Chili,4.4,41191
Le Petit Mouton de Mouton Rothschild Pauillac,550.0,France,4.4,422503
Amarone Classico Monte Danieli,62.3,Italie,4.4,274658
Pomerol,238.0,France,4.5,422503
Toscana,4697.5,Italie,4.7,274658
'Giulio Ferrari' Riserva del Fondatore,470.0,Italie,4.6,274658
Barolo Bussia,162.5,Italie,4.4,274658
Toscana,1815.0,Italie,4.7,274658
'Giulio Ferrari' Riserva del Fondatore,640.0,Italie,4.6,274658
Brunello di Montalcino,618.75,Italie,4.5,274658
Toscana,190.0,Italie,4.5,274658
Toscana,192.5,Italie,4.5,274658
Toscana,1815.0,Italie,4.7,274658
Vin Santo di Montepulciano,331.25,Italie,4.6,274658
Toscana,5231.25,Italie,4.7,274658
Côte-Rôtie La Turque,346.75,France,4.6,422503
Pomerol,149.95,France,4.4,422503
Chapelle-Chambertin Grand Cru,9607.5,France,4.5,422503
Toscana,4163.75,Italie,4.7,274658
Barolo Riserva Villero,790.0,Italie,4.6,274658
Toscana,1921.25,Italie,4.7,274658
L'Extravagant de Doisy-Daëne Sauternes,276.25,France,4.6,422503
Saint-Estèphe (Grand Cru Classé),152.0,France,4.3,422503
Valdegatiles Ribera del Duero,287.5,Espagne,4.4,102662
Brunello di Montalcino Riserva,150.25,Italie,4.4,274658
Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,182.5,Italie,4.5,274658
Campolongo di Torbe Amarone della Valpolicella Classico,265.0,Italie,4.5,274658
Tokaji Aszú 5 Puttonyos,73.71,Hongrie,4.5,16605
Musigny Grand Cru,2037.5,France,4.4,422503
Reserve,331.25,États-Unis,4.6,204060
Toscana,2028.75,Italie,4.7,274658
Vieille Vigne Griottes-Chambertin Grand Cru,3181.25,France,4.5,422503
Predappio Massera,166.0,Italie,4.4,274658
Ermitage l'Ermite Blanc,1260.0,France,4.5,422503
Lilium Est Amarone Della Valpolicella Riserva,164.9,Italie,4.5,274658
Toscana,1686.25,Italie,4.7,274658
Merlot,178.75,États-Unis,4.4,204060
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1300.0,France,4.6,422503
Barolo Brunate,640.0,Italie,4.3,274658
Brunello di Montalcino Riserva,1970.05,Italie,4.6,274658
Big'd Big Barolo,310.0,Italie,4.4,274658
Les Clos Chablís Grand Cru,683.75,France,4.5,422503
Amour de Deutz Millésimé Brut Champagne,199.0,France,4.5,422503
Sperss Barolo,431.25,Italie,4.6,274658
La Joie,494.9,États-Unis,4.6,204060
Le Montrachet Grand Cru,1580.0,France,4.5,422503
Toscana,1900.0,Italie,4.7,274658
Clos des Goisses Champagne,747.5,France,4.5,422503
Reserve,310.0,États-Unis,4.6,204060
Ermitage l'Ermite Blanc,427.5,France,4.5,422503
Barolo Monprivato,470.0,Italie,4.4,274658
Vin Santo di Montepulciano Occhio di Pernice,470.0,Italie,4.4,274658
Toscana,248.75,Italie,4.5,274658
Barsac (Premier Grand Cru Classé),287.5,France,4.4,422503
Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,150.0,Italie,4.5,274658
Calcarole Amarone della Valpolicella Classico,74.45,Italie,4.6,274658
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,420.0,Italie,4.5,274658
Barsac (Premier Grand Cru Classé),81.55,France,4.4,422503
Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),625.0,France,4.6,422503
50 & 50,168.75,Italie,4.4,274658
Le Désir,462.0,États-Unis,4.5,204060
Eszencia,480.37,Hongrie,4.7,16605
Bâtard-Montrachet Grand Cru,928.75,France,4.5,422503
Nettare Veneto Bianco,310.0,Italie,4.6,274658
Tenuta Guado al Tasso Bolgheri Superiore,212.5,Italie,4.5,274658
Toscana,2348.75,Italie,4.7,274658
Clos des Lambrays Grand Cru,618.75,France,4.4,422503
Toscana,1900.0,Italie,4.7,274658
Corton-Charlemagne Grand Cru,961.25,France,4.4,422503
Barolo Bussia Cicala,832.5,Italie,4.4,274658
Pietro Dal Cero Amarone della Valpolicella,106.3,Italie,4.5,274658
Siepi,293.75,Italie,4.4,274658
Toscana,2028.75,Italie,4.7,274658
Brunello di Montalcino Riserva Madonna del Piano,736.25,Italie,4.5,274658
Ferro,155.0,Italie,4.5,274658
Toscana,1900.0,Italie,4.7,274658
Saint-Émilion Grand Cru (Premier Grand Cru Classé),380.69,France,4.5,422503
Montelìg,49.99,Chili,4.4,41191
Brunello di Montalcino,121.25,Italie,4.3,274658
Sassella Nuova Regina Riserva,310.0,Italie,4.3,274658
Pieve Santa Restituta Rennina Brunello di Montalcino,203.8,Italie,4.5,274658
La Joie,462.0,États-Unis,4.6,204060
Brunello di Montalcino Riserva,99.95,Italie,4.3,274658
Pomerol,376.25,France,4.4,422503
Vürsù Barolo Campè,139.8,Italie,4.4,274658
La Faraona Bierzo (Corullón),2327.5,Espagne,4.6,102662
Amarone Stella,185.0,Italie,4.5,274658
V Red,94.95,Afrique du Sud,4.4,30857
Brunello di Montalcino Riserva,1046.25,Italie,4.6,274658
Brunello di Montalcino,276.25,Italie,4.5,274658
Toscana Rosso,420.0,Italie,4.5,274658
Cava Celler Batlle,83.95,Espagne,4.3,102662
Les Poyeux Saumur Champigny,618.75,France,4.5,422503
Nuits-Saint-Georges,1535.0,France,4.4,422503
Clos de Vougeot,1900.0,France,4.4,422503
Recioto della Valpolicella Classico,397.5,Italie,4.7,274658
Toscana Rosso,353.75,Italie,4.5,274658
Amarone della Valpolicella Riserva,120.0,Italie,4.4,274658
Cerretalto Brunello di Montalcino,414.75,Italie,4.7,274658
Bâtard-Montrachet Grand Cru,695.0,France,4.4,422503
Opus One,1665.0,États-Unis,4.6,204060
Grange,739.0,Australie,4.7,90954
Pessac-Léognan (Premier Grand Cru Classé),695.0,France,4.6,422503
Pauillac (Premier Grand Cru Classé),825.0,France,4.6,422503
Sassicaia,1237.5,Italie,4.6,274658
Tignanello,353.75,Italie,4.5,274658
Château Margaux (Premier Grand Cru Classé),1477.42,France,4.6,422503
Pomerol,6200.0,France,4.7,422503
Saint-Émilion Grand Cru (Premier Grand Cru Classé),995.0,France,4.6,422503
Cabernet Sauvignon,1558.75,États-Unis,4.8,204060
Sauternes,811.25,France,4.7,422503
Pingus,2028.75,Espagne,4.6,102662
Pomerol,533.75,France,4.5,422503
Barbaresco,470.0,Italie,4.5,274658
Tenuta Tignanello 'Solaia',702.5,Italie,4.6,274658
Barolo Paiagallo,342.5,Italie,4.3,274658
Grand Vin de Château Palmer (Grand Cru Classé),485.0,France,4.5,422503
Amarone Stella,168.8,Italie,4.5,274658
Saint-Émilion Grand Cru (Premier Grand Cru Classé),495.0,France,4.6,422503
Barolo Cascina Francia,491.25,Italie,4.5,274658
Pauillac (Grand Cru Classé),310.0,France,4.4,422503
Rujno Rosso,214.0,Italie,4.5,274658
Amarone Stella,148.8,Italie,4.5,274658
Costa Russi (Barbaresco) Langhe,896.25,Italie,4.6,274658
Pomerol,289.83,France,4.4,422503
Cos d'Estournel,225.0,France,4.4,422503
Vürsù Barbaresco Gallina,257.5,Italie,4.4,274658
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1680.0,France,4.6,422503
Saint-Émilion Grand Cru (Premier Grand Cru Classé),424.46,France,4.5,422503
Brunello di Montalcino,108.8,Italie,4.4,274658
Roda I Reserva Rioja,40.98,Espagne,4.4,102662
Saint-Julien (Grand Cru Classé),290.5,France,4.4,422503
Saint-Émilion Grand Cru (Premier Grand Cru Classé),178.17,France,4.4,422503
Ribolla Gialla,353.75,Italie,4.3,274658
Falletto Barolo Le Rocche del Falletto,373.8,Italie,4.5,274658
Il 'Divasco' Riserva,230.0,Italie,4.4,274658
Valpolicella Classico Superiore,121.85,Italie,4.5,274658
Brunello di Montalcino Riserva,694.0,Italie,4.6,274658
Pauillac (Grand Cru Classé),155.86,France,4.4,422503
Amarone della Valpolicella Classico,470.0,Italie,4.7,274658
P2 Plénitude Brut Champagne,893.75,France,4.7,422503
Brunello di Montalcino,215.0,Italie,4.3,274658
Vin Santo di Montepulciano Occhio di Pernice,420.0,Italie,4.4,274658
Finca Garbet,168.0,Espagne,4.6,102662
Don PX Selección,157.22,Espagne,4.5,102662
Gran Reserva Rioja (Finca Ygay),57.95,Espagne,4.3,102662
50 & 50,175.0,Italie,4.4,274658
Sancerre 'Clos la Néore',843.75,France,4.4,422503
Pomerol,275.0,France,4.5,422503
Montrachet Grand Cru,11862.5,France,4.7,422503
Veneto Alzero Cabernet,458.0,Italie,4.7,274658
Pauillac (Grand Cru Classé),244.59,France,4.4,422503
Lodovico,737.5,Italie,4.6,274658
Harlequin,286.0,Italie,4.7,274658
L'Apparita,397.5,Italie,4.4,274658
Toscana,2028.75,Italie,4.7,274658
Cuvée Ernest Riesling Alsace Sélection de Grains Nobles,133.8,France,4.5,422503
Redigaffi Toscana,470.0,Italie,4.5,274658
Vosne-Romanée Premier Cru 'Les Suchots',1046.25,France,4.3,422503
Brunello di Montalcino,182.5,Italie,4.5,274658
Trasnocho,104.59,Espagne,4.5,102662
Kairos,221.25,Italie,4.4,274658
Predappio Massera,184.8,Italie,4.4,274658
Saint-Julien (Grand Cru Classé),349.91,France,4.4,422503
Vigneto Bellavista Chianti Classico,331.25,Italie,4.4,274658
Mazzano Amarone Della Valpolicella Classico,182.5,Italie,4.5,274658
Brunello di Montalcino Riserva,331.25,Italie,4.4,274658
Barolo Rocche,150.0,Italie,4.4,274658
Vieilles Vignes Mazis-Chambertin Grand Cru,1260.0,France,4.5,422503
Sperss Barolo,462.5,Italie,4.6,274658
Clos de Vougeot,1686.25,France,4.4,422503
Blanc de Blancs Brut Champagne (Vintage),148.8,France,4.3,422503
Gabbro Toscana,148.75,Italie,4.4,274658
Finca Bella Vista Malbec,99.95,Argentine,4.5,36121
Pomerol,470.0,France,4.4,422503
Barolo Monprivato,470.0,Italie,4.4,274658
Lindaflor Blend,80.5,Argentine,4.3,36121
Toscana,206.25,Italie,4.5,274658
Brunello di Montalcino Riserva,265.0,Italie,4.4,274658
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,217.5,Italie,4.5,274658
Saint-Estèphe (Grand Cru Classé),179.95,France,4.3,422503
La Muse,494.9,États-Unis,4.5,204060
Pietro Dal Cero Amarone della Valpolicella,82.5,Italie,4.5,274658
Aegusa,102.2,Italie,4.6,274658
Toscana,2562.5,Italie,4.7,274658
50 & 50,233.75,Italie,4.4,274658
Finca Altamira Malbec,99.95,Argentine,4.5,36121
Mazzano Amarone Della Valpolicella Classico,190.0,Italie,4.5,274658
Brunello di Montalcino Riserva,585.0,Italie,4.6,274658
Campo Alla Sughera,126.25,Italie,4.4,274658
Clos Sainte Hune Riesling Alsace,448.75,France,4.5,422503
Messorio,448.75,Italie,4.5,274658
Pomerol,619.75,France,4.3,422503
Vin Santo di Montepulciano Occhio di Pernice,491.25,Italie,4.4,274658
Barsac (Premier Grand Cru Classé),1056.25,France,4.4,422503
Brunello di Montalcino Riserva,114.5,Italie,4.4,274658
Falletto Barolo,325.0,Italie,4.4,274658
Chambertin-Clos de Bèze Vieilles Vignes Grand Cru,1451.25,France,4.5,422503
Barolo Riserva Vigna Rionda,155.0,Italie,4.3,274658
Amarone della Valpolicella Classico,51.95,Italie,4.3,274658
Baffonero Maremma Toscana,353.75,Italie,4.5,274658
Charmes-Chambertin Grand Cru,230.0,France,4.4,422503
Brunello di Montalcino,265.0,Italie,4.5,274658
Crichet Pajè Barbaresco,2306.25,Italie,4.5,274658
Ulysses,185.0,États-Unis,4.3,204060
Puligny-Montrachet Premier Cru Clos du Cailleret,331.25,France,4.3,422503
Saint-Émilion Grand Cru,730.0,France,4.4,422503
Nuits-Saint-Georges,9482.5,France,4.4,422503
Redigaffi Toscana,713.75,Italie,4.5,274658
Cerretalto Brunello di Montalcino,470.75,Italie,4.7,274658
Ermitage Ex-Voto,310.0,France,4.4,422503
Corton-Charlemagne Grand Cru,811.25,France,4.4,422503
Chambolle-Musigny Les Baudes,387.2,France,4.2,422503
Saint-Emilion Grand Cru (Premier Grand Cru Classé),289.83,France,4.4,422503
Serral del Vell Brut Nature,52.95,Espagne,4.3,102662
Musigny Grand Cru (Cuveé Vieilles Vignes),2092.5,France,4.6,422503
Red,399.0,États-Unis,4.6,204060
Campogiovanni Brunello di Montalcino Riserva Il Quercione,80.0,Italie,4.5,274658
Brunello di Montalcino,190.0,Italie,4.3,274658
Campo Inferi Amarone della Valpolicella Classico Riserva,74.5,Italie,4.6,274658
Brunello di Montalcino Riserva,137.5,Italie,4.5,274658
Nine Popes,114.6,Australie,4.3,90954
Falletto Barbaresco Asili,265.0,Italie,4.4,274658
Reserva Particular de Recaredo Gran Reserva Brut Nature,89.95,Espagne,4.4,102662
Vigna Madonna Assunta La Villa Barolo Riserva,342.5,Italie,4.4,274658
Pommard 1er Cru Les Rugiens-Bas,338.8,France,4.3,422503
The Stork,57.95,Afrique du Sud,4.5,30857
Cerretalto Brunello di Montalcino,491.25,Italie,4.7,274658
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,74.95,Italie,4.3,274658
Il 'Divasco' Riserva,118.75,Italie,4.4,274658
Cuvée Kermesse Rosso,106.25,Italie,4.2,274658
Chardonnay,76.0,Afrique du Sud,4.4,30857
Cuvée des Enchanteleurs Brut Champagne,1387.5,France,4.5,422503
Brunello di Montalcino Riserva Madonna del Piano,249.5,Italie,4.5,274658
Brunello di Montalcino,101.25,Italie,4.3,274658
Cuvée des Enchanteleurs Brut Champagne,512.5,France,4.5,422503
Red,270.64,États-Unis,4.6,204060
Clos de la Roche Grand Cru Cuvée Vieilles Vignes,2518.75,France,4.4,422503
Predappio Massera,148.8,Italie,4.4,274658
Amarone della Valpolicella,61.3,Italie,4.3,274658
Sed de Caná,131.6,Espagne,4.5,102662
Montrachet Grand Cru Blanc,1135.0,France,4.5,422503
